persona_id,tier,style,allergen_stack,n_walls,survivors,pct_of_910,target_kcal,lbm_lb,fat_lo,fat_hi,carb_lo,carb_hi,prot_lo,prot_hi,keto,tgt_fat_per_100kcal,tgt_prot_per_100kcal,tgt_carb_per_100kcal,pool_fat_min,pool_fat_med,pool_fat_max,pool_prot_med,pool_carb_med,n_recipes_all4_in_band,pct_all4_in_band,n_fat_in_band,n_prot_in_band,n_carb_in_band,hull_feasible,hull_gap_bandunits,gap_axis,verdict
p115,EASY,keto,"shellfish|pork|eggs",3,28,3.08,2136,111.75,150,187,10,30,127,140,1,7.89,6.25,0.94,4.62,7.06,10.96,7.63,1.42,11,39.29,28,22,16,1,0,"","SOLVER-LIMITED"
p116,EASY,none,"fish",1,752,82.64,3328,238.08,81,95,313,337,271,298,0,2.64,8.55,9.77,0.03,4.32,10.96,4.79,10.12,115,15.29,304,281,503,1,0,"","SOLVER-LIMITED"
p117,HARD,none,"shellfish|gluten",2,378,41.54,1364,92.17,31,37,118,142,105,115,0,2.49,8.06,9.53,0.03,4.13,10.96,6.08,9.43,82,21.69,160,194,270,1,0,"","SOLVER-LIMITED"
p118,HARD,kosher,"eggs|pork|gluten",3,259,28.46,1530,121.92,41,49,99,123,139,152,0,2.94,9.51,7.25,0.03,3.8,10.96,6.64,9.53,48,18.53,150,123,159,1,0,"","SOLVER-LIMITED"
p119,EASY,none,"tree nuts",1,830,91.21,2322,116.61,40,47,306,330,133,146,0,1.87,6.01,13.7,0.03,4.13,10.96,5.58,9.74,128,15.42,232,500,508,1,0,"","SOLVER-LIMITED"
p120,EASY,vegetarian,"dairy|fish|nightshades|soy",4,85,9.34,2308,128.57,44,51,279,303,147,161,0,2.06,6.67,12.61,0.03,2.63,10.96,3.23,12.8,19,22.35,37,21,61,1,0,"","SOLVER-LIMITED"
p121,EASY,mediterranean,"",0,814,89.45,1996,127.41,43,51,204,228,145,159,0,2.35,7.62,10.82,0.03,4.17,10.96,5.58,9.78,165,20.27,304,402,562,1,0,"","SOLVER-LIMITED"
p122,EASY,mediterranean,"",0,814,89.45,2826,204.63,70,82,254,278,233,256,0,2.69,8.65,9.41,0.03,4.17,10.96,5.58,9.78,146,17.94,348,342,548,1,0,"","SOLVER-LIMITED"
p123,EASY,none,"soy|shellfish",2,687,75.49,2843,224.5,76,90,219,243,256,281,0,2.92,9.44,8.13,0.03,4.24,10.96,4.66,10.09,99,14.41,316,208,405,1,0,"","SOLVER-LIMITED"
p124,EASY,none,"",0,910,100,2806,188.57,64,75,283,307,215,236,0,2.48,8.04,10.51,0.03,4.2,10.96,5.39,9.78,170,18.68,354,406,615,1,0,"","SOLVER-LIMITED"
p125,ROBUSTNESS,none,"gluten|dairy",2,296,32.53,2004,106.05,36,42,249,273,121,133,0,1.95,6.34,13.02,0.03,3.77,10.96,6.84,9.5,65,21.96,108,211,191,1,0,"","SOLVER-LIMITED"
p126,HARD,none,"shellfish|fish|pork|sesame|soy",5,532,58.46,1399,93.87,32,38,122,146,107,117,0,2.5,8.01,9.58,0.03,4.1,10.96,3.78,10.71,102,19.17,214,183,364,1,0,"","SOLVER-LIMITED"
p127,HARD,vegetarian,"cilantro|sesame|shellfish|soy",4,304,33.41,1822,197.3,68,84,38,62,225,247,0,4.17,12.95,2.74,0.03,3.99,10.96,2.6,12.29,0,0,184,18,14,0,0.14,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p128,EASY,mediterranean,"pork",1,774,85.05,2118,137.62,47,55,213,237,157,172,0,2.41,7.77,10.62,0.03,4.1,10.96,5.6,9.84,158,20.41,298,373,535,1,0,"","SOLVER-LIMITED"
p129,EASY,none,"shellfish|gluten|sesame",3,360,39.56,2267,164.61,56,66,196,220,188,206,0,2.69,8.69,9.18,0.03,4.07,10.96,6.1,9.43,72,20,165,168,246,1,0,"","SOLVER-LIMITED"
p130,IMPOSSIBLE,vegan,"soy|gluten|peanuts|tree nuts|sesame|legumes",5,20,2.2,1657,138.81,47,56,95,119,158,174,0,3.11,10.02,6.46,0.03,3.29,10.96,2.06,16.4,0,0,6,0,5,0,2.02,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p131,EASY,none,"",0,910,100,2296,170.51,58,68,192,216,194,213,0,2.74,8.86,8.89,0.03,4.2,10.96,5.39,9.78,144,15.82,392,357,604,1,0,"","SOLVER-LIMITED"
p132,EASY,none,"eggs",1,642,70.55,2789,152.68,52,61,351,375,174,191,0,2.03,6.54,13.02,0.03,3.88,10.96,6.42,9.6,124,19.31,216,403,397,1,0,"","SOLVER-LIMITED"
p133,IMPOSSIBLE,vegan,"soy|gluten|peanuts|tree nuts|sesame|legumes",5,20,2.2,1388,119.84,41,48,66,90,137,150,0,3.21,10.34,5.62,0.03,3.29,10.96,2.06,16.4,0,0,7,0,5,0,2.17,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p134,EASY,none,"pork|beef",2,728,80,2113,186.01,63,74,115,139,212,233,0,3.24,10.53,6.01,0.03,3.88,10.96,5.25,10.34,41,5.63,397,221,239,1,0,"","SOLVER-LIMITED"
p135,EASY,vegetarian,"pork|soy",2,327,35.93,3051,203.95,69,82,312,336,232,255,0,2.47,7.98,10.62,0.03,4.08,10.96,2.8,12.12,42,12.84,126,60,226,1,0,"","SOLVER-LIMITED"
p136,EASY,none,"soy",1,741,81.43,2748,220.14,75,88,204,228,251,275,0,2.97,9.57,7.86,0.03,4.1,10.96,4.8,10.06,103,13.9,336,237,417,1,0,"","SOLVER-LIMITED"
p137,EASY,none,"",0,910,100,2163,145.42,49,58,209,233,166,182,0,2.47,8.04,10.22,0.03,4.2,10.96,5.39,9.78,176,19.34,358,406,632,1,0,"","SOLVER-LIMITED"
p138,HARD,none,"peanuts|gluten|dairy",3,285,31.32,1226,100.56,34,40,66,90,115,126,0,3.02,9.83,6.36,0.03,3.76,10.96,6.83,9.44,36,12.63,146,131,156,1,0,"","SOLVER-LIMITED"
p139,HARD,vegan,"fish|dairy|gluten",3,89,9.78,1645,108.1,37,43,155,179,123,135,0,2.43,7.84,10.15,0.03,4.03,10.96,5.08,11.8,3,3.37,28,42,73,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p140,EASY,mediterranean,"",0,814,89.45,2696,147,50,59,338,362,168,184,0,2.02,6.53,12.98,0.03,4.17,10.96,5.58,9.78,132,16.22,249,446,519,1,0,"","SOLVER-LIMITED"
p141,EASY,vegetarian,"",0,401,44.07,3856,211.96,72,85,497,521,242,265,0,2.04,6.57,13.2,0.03,4.02,10.96,3.25,11.92,65,16.21,119,147,310,1,0,"","SOLVER-LIMITED"
p142,EASY,none,"beef|pork|nightshades",3,401,44.07,2857,152.54,52,61,368,392,174,191,0,1.98,6.39,13.3,0.03,3.69,10.96,3.68,11,72,17.96,146,185,287,1,0,"","SOLVER-LIMITED"
p143,EASY,vegetarian,"soy",1,327,35.93,3010,183.7,62,73,344,368,209,230,0,2.24,7.29,11.83,0.03,4.08,10.96,2.8,12.12,46,14.07,110,67,239,1,0,"","SOLVER-LIMITED"
p144,EASY,kosher,"",0,680,74.73,1917,111.77,38,45,215,239,127,140,0,2.16,6.96,11.84,0.03,3.99,10.96,5.29,10.32,152,22.35,256,346,486,1,0,"","SOLVER-LIMITED"
p145,HARD,vegan,"pork|shellfish|peanuts|nightshades|gluten",5,46,5.05,2784,116.17,39,46,425,449,132,145,0,1.53,4.97,15.7,0.03,3.95,10.96,6.26,11.12,4,8.7,8,27,23,1,0,"","SOLVER-LIMITED"
p146,HARD,none,"sesame|beef|soy|gluten",4,306,33.63,2129,134.75,46,54,222,246,154,168,0,2.35,7.56,10.99,0.03,3.6,10.96,5.62,9.68,87,28.43,140,155,202,1,0,"","SOLVER-LIMITED"
p147,EASY,none,"soy|shellfish|beef",3,605,66.48,1918,121.39,41,49,196,220,138,152,0,2.35,7.56,10.84,0.03,4.08,10.96,4.18,10.4,126,20.83,236,232,417,1,0,"","SOLVER-LIMITED"
p148,EASY,none,"shellfish|nightshades",2,426,46.81,2082,166.35,57,67,145,169,190,208,0,2.98,9.56,7.54,0.03,4.1,10.96,3.77,10.82,49,11.5,203,126,215,1,0,"","SOLVER-LIMITED"
p149,HARD,keto,"fish|soy|sesame|tree nuts",4,37,4.07,1557,117.23,89,111,10,30,134,147,1,6.42,9.02,1.28,3.35,7.07,10.96,7.49,1.72,19,51.35,35,23,30,1,0,"","SOLVER-LIMITED"
p150,EASY,mediterranean,"",0,814,89.45,1979,114.95,39,46,225,249,131,144,0,2.15,6.95,11.98,0.03,4.17,10.96,5.58,9.78,161,19.78,277,432,546,1,0,"","SOLVER-LIMITED"
p151,EASY,none,"pork|beef",2,728,80,2556,143.81,49,58,310,334,164,180,0,2.09,6.73,12.6,0.03,3.88,10.96,5.25,10.34,156,21.43,273,376,506,1,0,"","SOLVER-LIMITED"
p152,EASY,keto,"",0,53,5.82,3421,174.4,248,309,10,30,199,218,1,8.14,6.09,0.58,0.43,6.87,10.96,7.65,1.74,8,15.09,50,45,13,1,0,"","SOLVER-LIMITED"
p153,EASY,mediterranean,"soy|dairy",2,368,40.44,4206,259.91,88,104,488,512,296,325,0,2.28,7.38,11.89,0.03,3.25,10.96,6.37,9.71,113,30.71,179,220,238,1,0,"","SOLVER-LIMITED"
p154,HARD,none,"dairy|beef|gluten|pork",4,246,27.03,3157,202.9,69,81,341,365,231,254,0,2.38,7.68,11.18,0.03,3.33,10.96,7.25,9.7,79,32.11,127,163,186,1,0,"","SOLVER-LIMITED"
p155,IMPOSSIBLE,vegan,"shellfish|soy|gluten|peanuts|tree nuts|sesame|legumes",6,20,2.2,1229,80.25,27,32,108,132,91,100,0,2.4,7.77,9.76,0.03,3.29,10.96,2.06,16.4,0,0,6,0,8,0,1.2,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p156,EASY,paleo,"sesame",1,164,18.02,2014,160.93,55,64,141,165,183,201,0,2.95,9.53,7.6,0.03,4.61,10.96,5.91,8.64,22,13.41,60,70,94,1,0,"","SOLVER-LIMITED"
p157,EASY,vegetarian,"soy",1,327,35.93,1312,79.9,27,32,129,153,91,100,0,2.25,7.28,10.75,0.03,4.08,10.96,2.8,12.12,45,13.76,110,69,243,1,0,"","SOLVER-LIMITED"
p158,EASY,kosher,"shellfish|sesame|peanuts",3,612,67.25,1577,96.67,33,39,161,185,110,121,0,2.28,7.32,10.97,0.03,3.96,10.96,5.22,10.4,143,23.37,238,298,452,1,0,"","SOLVER-LIMITED"
p159,HARD,none,"nightshades|peanuts|gluten",3,171,18.79,1598,165.56,60,75,38,62,189,207,0,4.22,12.39,3.13,0.03,3.41,10.96,6.47,9.58,1,0.58,102,43,18,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p160,IMPOSSIBLE,none,"gluten|beef|fish|soy|dairy",5,165,18.13,2016,153.69,52,61,156,180,175,192,0,2.8,9.1,8.33,0.03,3.28,10.96,5.6,10.23,38,23.03,96,67,100,1,0,"","SOLVER-LIMITED"
p161,EASY,keto,"soy",1,46,5.05,2041,162.7,116,144,10,30,185,203,1,6.37,9.51,0.98,0.43,6.92,10.96,7.79,1.73,14,30.43,43,28,23,1,0,"","SOLVER-LIMITED"
p162,EASY,none,"",0,910,100,2337,168.24,57,67,207,231,192,210,0,2.65,8.6,9.37,0.03,4.2,10.96,5.39,9.78,164,18.02,387,374,619,1,0,"","SOLVER-LIMITED"
p163,HARD,vegetarian,"beef|shellfish|soy",3,327,35.93,1671,138.26,47,55,101,125,158,173,0,3.05,9.9,6.76,0.03,4.08,10.96,2.8,12.12,6,1.83,151,47,100,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p164,HARD,none,"sesame|dairy|eggs|pork|beef",5,366,40.22,1200,71.45,24,29,118,142,81,89,0,2.21,7.08,10.83,0.03,3.23,10.96,7.34,9.83,137,37.43,191,245,291,1,0,"","SOLVER-LIMITED"
p165,EASY,none,"eggs",1,642,70.55,1237,87.3,30,35,95,119,100,109,0,2.63,8.45,8.65,0.03,3.88,10.96,6.42,9.6,151,23.52,302,336,462,1,0,"","SOLVER-LIMITED"
p166,HARD,paleo,"peanuts|dairy|fish|nightshades|gluten",5,28,3.08,1500,79.07,27,32,177,201,90,99,0,1.97,6.3,12.6,0.03,5.89,10.96,2.88,10.76,0,0,4,9,12,1,0,"","SOLVER-LIMITED (hull-only, 0 single-recipe matches)"
p167,EASY,none,"gluten|sesame|dairy|eggs",4,247,27.14,2326,187.99,64,75,164,188,214,235,0,2.99,9.65,7.57,0.03,3.69,10.96,7.15,9.42,49,19.84,129,125,153,1,0,"","SOLVER-LIMITED"
p168,EASY,paleo,"pork",1,148,16.26,2503,162.67,55,65,260,284,185,203,0,2.4,7.75,10.87,0.03,4.33,10.96,6.17,8.88,31,20.95,55,80,81,1,0,"","SOLVER-LIMITED"
p169,HARD,none,"nightshades|peanuts|fish|gluten",4,143,15.71,2438,179.74,61,72,208,232,205,225,0,2.73,8.82,9.02,0.03,3.87,10.96,5.94,10.03,27,18.88,68,64,95,1,0,"","SOLVER-LIMITED"
p170,HARD,none,"fish|nightshades|tree nuts|gluten|pork|beef|soy",7,95,10.44,1500,113.21,38,45,109,133,129,142,0,2.77,9.03,8.07,0.03,2.94,10.96,4.4,10.67,22,23.16,54,35,56,1,0,"","SOLVER-LIMITED"
p171,ROBUSTNESS,none,"gluten",1,413,45.38,2197,136.65,46,55,235,259,156,171,0,2.3,7.44,11.24,0.03,4.03,10.96,6.24,9.44,98,23.73,165,241,277,1,0,"","SOLVER-LIMITED"
p172,HARD,vegetarian,"shellfish|peanuts|dairy|sesame",4,196,21.54,2303,229.38,78,92,74,98,261,287,0,3.69,11.9,3.73,0.03,3.42,10.96,5.22,11.95,0,0,112,32,6,0,0,"protein","POOL-LIMITED (ratio unreachable)"
p173,EASY,vegan,"",0,169,18.57,2645,157.1,53,63,306,330,179,196,0,2.19,7.09,12.02,0.03,3.81,10.96,5.08,11.54,30,17.75,60,84,132,1,0,"","SOLVER-LIMITED"
p174,HARD,none,"fish|peanuts|gluten|nightshades|soy",5,118,12.97,1536,124.64,42,50,95,119,142,156,0,2.99,9.7,6.97,0.03,3.4,10.96,4.93,10.27,12,10.17,61,38,54,1,0,"","SOLVER-LIMITED"
p175,IMPOSSIBLE,vegan,"dairy|beef|pork|sesame|soy|gluten|peanuts|tree nuts|legumes",8,20,2.2,1500,88.57,30,35,159,183,101,111,0,2.17,7.07,11.4,0.03,3.29,10.96,2.06,16.4,0,0,6,1,8,0,0.8,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p176,EASY,none,"",0,910,100,1781,167.66,57,67,68,92,191,210,0,3.48,11.26,4.49,0.03,4.2,10.96,5.39,9.78,16,1.76,503,217,212,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p177,EASY,none,"dairy|shellfish",2,494,54.29,3363,262.81,89,105,271,295,300,329,0,2.88,9.35,8.42,0.03,3.77,10.96,6.64,9.66,101,20.45,267,230,322,1,0,"","SOLVER-LIMITED"
p178,EASY,mediterranean,"shellfish|gluten|beef",3,296,32.53,3216,194.98,66,78,372,396,222,244,0,2.24,7.25,11.94,0.03,4,10.96,6.09,9.64,69,23.31,115,171,193,1,0,"","SOLVER-LIMITED"
p179,EASY,none,"eggs",1,642,70.55,3155,271,92,108,203,227,309,339,0,3.17,10.27,6.81,0.03,3.88,10.96,6.42,9.6,59,9.19,354,235,331,1,0,"","SOLVER-LIMITED"
p180,EASY,none,"beef|gluten|pork",3,336,36.92,2492,183.05,62,73,215,239,209,229,0,2.71,8.79,9.11,0.03,3.7,10.96,6.49,9.73,72,21.43,167,168,240,1,0,"","SOLVER-LIMITED"
p181,HARD,none,"gluten|eggs",2,335,36.81,1533,153.18,60,75,38,62,175,191,0,4.4,11.94,3.26,0.03,3.87,10.96,6.62,9.42,3,0.9,227,88,44,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p182,EASY,none,"",0,910,100,2652,214.05,73,86,191,215,244,268,0,3,9.65,7.65,0.03,4.2,10.96,5.39,9.78,106,11.65,430,316,501,1,0,"","SOLVER-LIMITED"
p183,EASY,mediterranean,"dairy|cilantro|nightshades",3,241,26.48,1607,125.1,43,50,111,135,143,156,0,2.89,9.3,7.65,0.03,3.35,10.96,6.68,9.64,52,21.58,125,113,154,1,0,"","SOLVER-LIMITED"
p184,IMPOSSIBLE,vegan,"tree nuts|soy|gluten|peanuts|sesame|legumes",5,20,2.2,2187,169.5,58,68,166,190,193,212,0,2.88,9.26,8.14,0.03,3.29,10.96,2.06,16.4,0,0,6,0,5,0,1.74,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p185,EASY,none,"eggs",1,642,70.55,2273,204.12,69,82,117,141,233,255,0,3.32,10.73,5.68,0.03,3.88,10.96,6.42,9.6,33,5.14,376,211,209,1,0,"","SOLVER-LIMITED"
p186,EASY,none,"",0,910,100,1835,129.76,44,52,159,183,148,162,0,2.62,8.45,9.32,0.03,4.2,10.96,5.39,9.78,167,18.35,390,386,627,1,0,"","SOLVER-LIMITED"
p187,HARD,vegetarian,"tree nuts|beef|dairy",3,196,21.54,1816,167.72,57,67,77,101,191,210,0,3.41,11.04,4.9,0.03,3.48,10.96,5.87,11.88,0,0,119,51,23,1,0,"","SOLVER-LIMITED (hull-only, 0 single-recipe matches)"
p188,HARD,none,"peanuts|nightshades|pork|eggs",4,270,29.67,1306,94.53,32,38,98,122,108,118,0,2.68,8.65,8.42,0.03,3.33,10.96,6.55,9.93,70,25.93,136,139,184,1,0,"","SOLVER-LIMITED"
p189,EASY,none,"fish|pork|dairy",3,392,43.08,3981,153.97,52,62,646,670,176,192,0,1.43,4.62,16.53,0.03,3.6,10.96,6.48,10.05,36,9.18,85,292,170,1,0,"","SOLVER-LIMITED"
p190,EASY,mediterranean,"shellfish|peanuts",2,712,78.24,2400,155.01,53,62,248,272,177,194,0,2.4,7.73,10.83,0.03,4.24,10.96,5.3,9.84,134,18.82,257,332,487,1,0,"","SOLVER-LIMITED"
p191,HARD,none,"soy|cilantro|shellfish|sesame",4,638,70.11,2827,269.43,92,108,123,147,307,337,0,3.54,11.39,4.78,0.03,4.17,10.96,4.6,10.25,8,1.25,356,143,138,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p192,EASY,halal,"gluten",1,348,38.24,1200,80.32,27,32,101,125,92,100,0,2.46,8,9.42,0.03,3.8,10.96,6.7,9.56,93,26.72,161,205,259,1,0,"","SOLVER-LIMITED"
p193,EASY,none,"",0,910,100,1861,165.91,56,66,93,117,189,207,0,3.28,10.64,5.64,0.03,4.2,10.96,5.39,9.78,38,4.18,478,245,293,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p194,EASY,none,"peanuts|eggs",2,610,67.03,2368,153.96,52,62,243,267,176,192,0,2.41,7.77,10.77,0.03,3.87,10.96,6.42,9.58,156,25.57,259,347,419,1,0,"","SOLVER-LIMITED"
p195,EASY,none,"beef|shellfish",2,723,79.45,3059,205.51,70,82,311,335,234,257,0,2.48,8.03,10.56,0.03,4.08,10.96,4.79,10.28,135,18.67,289,297,496,1,0,"","SOLVER-LIMITED"
p196,HARD,mediterranean,"cilantro|soy|shellfish|dairy",4,315,34.62,1947,196.98,67,79,50,74,225,246,0,3.75,12.1,3.18,0.03,3.26,10.96,6.17,9.83,1,0.32,193,97,23,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p197,ROBUSTNESS,none,"pork|dairy|peanuts",3,488,53.63,3617,291.78,99,117,275,299,333,365,0,2.99,9.65,7.93,0.03,3.46,10.96,6.84,9.69,90,18.44,258,236,297,1,0,"","SOLVER-LIMITED"
p198,EASY,none,"soy",1,741,81.43,2264,102.41,35,41,321,345,117,128,0,1.68,5.41,14.71,0.03,4.1,10.96,4.8,10.06,78,10.53,175,425,439,1,0,"","SOLVER-LIMITED"
p199,EASY,paleo,"",0,167,18.35,4780,274.35,93,110,602,626,313,343,0,2.12,6.86,12.85,0.03,4.62,10.96,5.86,8.67,28,16.77,51,96,77,1,0,"","SOLVER-LIMITED"
p200,EASY,none,"",0,910,100,2015,151.59,52,61,159,183,173,189,0,2.8,8.98,8.49,0.03,4.2,10.96,5.39,9.78,139,15.27,404,350,577,1,0,"","SOLVER-LIMITED"
p201,EASY,keto,"",0,53,5.82,2027,207.46,94,116,10,30,237,259,1,5.18,12.23,0.99,0.43,6.87,10.96,7.65,1.74,8,15.09,42,18,26,1,0,"","SOLVER-LIMITED"
p202,EASY,none,"soy",1,741,81.43,2067,134.13,46,54,207,231,153,168,0,2.42,7.76,10.6,0.03,4.1,10.96,4.8,10.06,159,21.46,293,309,504,1,0,"","SOLVER-LIMITED"
p203,HARD,paleo,"soy|gluten|cilantro|shellfish",4,116,12.75,1470,131.27,45,53,63,87,150,164,0,3.33,10.68,5.1,0.03,4.93,10.96,5.55,8.76,3,2.59,50,36,40,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p204,HARD,none,"sesame|fish|tree nuts|soy|gluten",5,266,29.23,1404,130.8,44,52,50,74,149,163,0,3.42,11.11,4.42,0.03,4.02,10.96,5.52,9.58,7,2.63,145,73,75,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p205,EASY,kosher,"dairy",1,459,50.44,1200,63.02,21,25,136,160,72,79,0,1.92,6.29,12.33,0.03,3.58,10.96,6.69,9.77,120,26.14,177,314,335,1,0,"","SOLVER-LIMITED"
p206,HARD,none,"nightshades|gluten|eggs|beef|pork",5,125,13.74,2014,181.31,62,73,98,122,207,227,0,3.35,10.77,5.46,0.03,3.23,10.96,7.2,9.58,7,5.6,81,48,36,1,0,"","SOLVER-LIMITED"
p207,EASY,none,"tree nuts|beef|pork",3,657,72.2,1644,133.97,46,54,102,126,153,167,0,3.04,9.73,6.93,0.03,3.81,10.96,5.55,10.27,68,10.35,339,249,332,1,0,"","SOLVER-LIMITED"
p208,IMPOSSIBLE,vegan,"soy|gluten|peanuts|tree nuts|sesame|legumes",5,20,2.2,4939,217.36,74,87,757,781,248,272,0,1.63,5.26,15.57,0.03,3.29,10.96,2.06,16.4,0,0,5,2,10,1,0,"","SOLVER-LIMITED (hull-only, 0 single-recipe matches)"
p209,HARD,none,"dairy|eggs|cilantro|soy|gluten",5,199,21.87,2042,136.72,46,55,196,220,156,171,0,2.47,8.01,10.19,0.03,3.32,10.96,6.35,9.42,67,33.67,106,112,143,1,0,"","SOLVER-LIMITED"
p210,EASY,paleo,"",0,167,18.35,2430,212.31,72,85,140,164,242,265,0,3.23,10.43,6.26,0.03,4.62,10.96,5.86,8.67,13,7.78,70,63,69,1,0,"","SOLVER-LIMITED"
p211,IMPOSSIBLE,vegan,"cilantro|soy|gluten|peanuts|tree nuts|sesame|legumes",6,20,2.2,2356,175,60,70,196,220,200,219,0,2.76,8.89,8.83,0.03,3.29,10.96,2.06,16.4,0,0,6,0,6,0,1.61,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p212,IMPOSSIBLE,vegetarian,"shellfish|gluten|dairy|soy",4,72,7.91,1646,111.13,38,44,149,173,127,139,0,2.49,8.08,9.78,0.03,3.65,10.96,3.23,13.19,5,6.94,34,13,51,1,0,"","SOLVER-LIMITED"
p213,EASY,none,"shellfish",1,826,90.77,1889,185.65,63,74,59,83,212,232,0,3.63,11.75,3.76,0.03,4.28,10.96,5.15,9.85,4,0.48,486,159,128,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p214,EASY,vegetarian,"shellfish|cilantro|fish|sesame",4,370,40.66,2660,171.2,58,68,282,306,195,214,0,2.37,7.69,11.05,0.03,3.96,10.96,3.18,11.98,61,16.49,133,121,279,1,0,"","SOLVER-LIMITED"
p215,HARD,vegetarian,"gluten|nightshades|peanuts|eggs",4,68,7.47,3723,217.6,74,87,453,477,248,272,0,2.16,6.98,12.49,0.03,3.86,10.96,6.26,11.3,11,16.18,22,37,45,1,0,"","SOLVER-LIMITED"
p216,HARD,none,"sesame|gluten|peanuts|soy",4,336,36.92,1200,84.13,29,34,92,116,96,105,0,2.63,8.38,8.67,0.03,3.87,10.96,5.86,9.43,80,23.81,158,154,228,1,0,"","SOLVER-LIMITED"
p217,EASY,none,"nightshades",1,456,50.11,1614,89.17,30,36,186,210,102,111,0,2.04,6.6,12.27,0.03,4,10.96,4.19,10.51,86,18.86,157,214,324,1,0,"","SOLVER-LIMITED"
p218,EASY,vegan,"soy|eggs",2,98,10.77,2057,107.63,37,43,258,282,123,135,0,1.94,6.27,13.13,0.03,3.6,10.96,3.11,13.19,12,12.24,32,19,74,1,0,"","SOLVER-LIMITED"
p219,IMPOSSIBLE,vegan,"gluten|dairy|soy",3,48,5.27,3302,285.54,97,114,210,234,326,357,0,3.2,10.34,6.72,0.03,3.81,10.96,3.07,13.62,0,0,27,0,10,0,0.91,"protein+fat+carb","POOL-LIMITED (ratio unreachable)"
p220,IMPOSSIBLE,vegan,"gluten|soy|peanuts|tree nuts|sesame|legumes",5,20,2.2,2323,211.44,72,85,115,139,241,264,0,3.38,10.87,5.47,0.03,3.29,10.96,2.06,16.4,0,0,6,0,4,0,2.28,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p221,ROBUSTNESS,none,"cilantro|shellfish",2,797,87.58,1783,98.75,34,40,208,232,113,123,0,2.08,6.62,12.34,0.03,4.24,10.96,5.22,9.93,146,18.32,246,417,538,1,0,"","SOLVER-LIMITED"
p222,IMPOSSIBLE,vegan,"soy|gluten|peanuts|tree nuts|sesame|legumes",5,20,2.2,1946,144.62,49,58,156,180,165,181,0,2.75,8.89,8.63,0.03,3.29,10.96,2.06,16.4,0,0,6,0,6,0,1.61,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p223,EASY,kosher,"cilantro",1,657,72.2,1930,196.35,67,79,47,71,224,245,0,3.78,12.15,3.06,0.03,3.95,10.96,5.31,10.38,2,0.3,409,128,55,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p224,EASY,none,"shellfish|nightshades",2,426,46.81,3403,177.13,60,71,455,479,202,221,0,1.92,6.22,13.72,0.03,4.1,10.96,3.77,10.82,59,13.85,131,194,291,1,0,"","SOLVER-LIMITED"
p225,EASY,kosher,"peanuts",1,658,72.31,2798,190.98,65,76,275,299,218,239,0,2.52,8.17,10.26,0.03,3.99,10.96,5.27,10.37,136,20.67,279,291,466,1,0,"","SOLVER-LIMITED"
p226,ROBUSTNESS,kosher,"gluten",1,317,34.84,1500,89,30,36,158,182,101,111,0,2.2,7.07,11.33,0.03,3.87,10.96,6.33,9.65,85,26.81,130,198,229,1,0,"","SOLVER-LIMITED"
p227,IMPOSSIBLE,vegan,"peanuts|soy|gluten|tree nuts|sesame|legumes",5,20,2.2,1297,94,32,38,97,121,107,117,0,2.7,8.64,8.4,0.03,3.29,10.96,2.06,16.4,0,0,6,0,7,0,1.56,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p228,ROBUSTNESS,keto,"",0,53,5.82,4256,276.92,284,353,10,30,316,346,1,7.48,7.78,0.47,0.43,6.87,10.96,7.65,1.74,6,11.32,51,38,7,1,0,"","SOLVER-LIMITED"
p229,EASY,vegan,"gluten|shellfish|fish",3,89,9.78,1709,126.79,43,51,133,157,145,158,0,2.75,8.86,8.48,0.03,4.03,10.96,5.08,11.8,4,4.49,39,37,54,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p230,EASY,none,"pork",1,821,90.22,2165,128.54,44,51,243,267,147,161,0,2.19,7.11,11.78,0.03,4.06,10.96,5.49,10.03,178,21.68,298,424,561,1,0,"","SOLVER-LIMITED"
p231,EASY,none,"dairy",1,564,61.98,2568,130.28,44,52,341,365,149,163,0,1.87,6.07,13.75,0.03,3.64,10.96,6.75,9.58,113,20.04,203,391,350,1,0,"","SOLVER-LIMITED"
